"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\JsonSharp\Json.cs", "C#", 543, 0, 0, 0, 1, 1, 545
"e:\Projects\Development\Oxalate\JsonSharp\JsonSharp.csproj", "XML", 0, 0, 5, 0, 0, 3, 8
"e:\Projects\Development\Oxalate\JsonSharp\bin\Debug\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\bin\Release\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.dgspec.json", "JSON", 0, 62, 0, 0, 0, 0, 62
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\project.assets.json", "JSON", 0, 67, 0, 0, 0, 0, 67
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.Designer.cs", "C#", 93, 0, 0, 0, 29, 7, 129
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.cs", "C#", 111, 0, 0, 0, 0, 8, 119
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.Designer.cs", "C#", 92, 0, 0, 0, 35, 9, 136
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.ShowMessage.cs", "C#", 105, 0, 0, 0, 0, 9, 114
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.cs", "C#", 94, 0, 0, 0, 0, 13, 107
"e:\Projects\Development\Oxalate\OxalateClient-GUI\OxalateClient-GUI.csproj", "XML", 0, 0, 11, 0, 0, 3, 14
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Preference.cs", "C#", 106, 0, 0, 0, 3, 8, 117
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Program.cs", "C#", 26, 0, 0, 0, 3, 2, 31
"e:\Projects\Development\Oxalate\OxalateClient-GUI\TextBoxIO.cs", "C#", 71, 0, 0, 0, 0, 7, 78
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.deps.json", "JSON", 0, 63, 0, 0, 0, 0, 63
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 93, 0, 0, 0, 0, 93
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.deps.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.runtimeconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 16
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.dgspec.json", "JSON", 0, 242, 0, 0, 0, 0, 242
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\project.assets.json", "JSON", 0, 130, 0, 0, 0, 0, 130
"e:\Projects\Development\Oxalate\OxalateClient\Client.cs", "C#", 134, 0, 0, 0, 35, 20, 189
"e:\Projects\Development\Oxalate\OxalateClient\ClientKeepAlive.cs", "C#", 42, 0, 0, 0, 0, 3, 45
"e:\Projects\Development\Oxalate\OxalateClient\ClientListener.cs", "C#", 54, 0, 0, 0, 0, 4, 58
"e:\Projects\Development\Oxalate\OxalateClient\Events.cs", "C#", 48, 0, 0, 0, 0, 7, 55
"e:\Projects\Development\Oxalate\OxalateClient\OxalateClientTCP.csproj", "XML", 0, 0, 9, 0, 0, 4, 13
"e:\Projects\Development\Oxalate\OxalateClient\TcpPacket.cs", "C#", 44, 0, 0, 0, 7, 4, 55
"e:\Projects\Development\Oxalate\OxalateClient\bin\Debug\netcoreapp3.1\OxalateClient.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateClient\bin\Debug\netcoreapp3.1\OxalateClientTCP.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClient.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
