"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\project.assets.json", "JSON", 0, 0, 135, 0, 0, 0, 135
"e:\Projects\Development\Oxalate\OxalateServer\Command.cs", "C#", 28, 0, 0, 0, 6, 6, 40
"e:\Projects\Development\Oxalate\OxalateServer\IPlugin.cs", "C#", 17, 0, 0, 0, 9, 6, 32
"e:\Projects\Development\Oxalate\OxalateServer\OnlineUser.cs", "C#", 91, 0, 0, 0, 11, 11, 113
"e:\Projects\Development\Oxalate\OxalateServer\OxalateServer.csproj", "XML", 0, 19, 0, 0, 0, 5, 24
"e:\Projects\Development\Oxalate\OxalateServer\PluginAPI.cs", "C#", 49, 0, 0, 0, 15, 12, 76
"e:\Projects\Development\Oxalate\OxalateServer\PluginManager.cs", "C#", 126, 0, 0, 0, 19, 16, 161
"e:\Projects\Development\Oxalate\OxalateServer\Program.cs", "C#", 36, 0, 0, 0, 0, 10, 46
"e:\Projects\Development\Oxalate\OxalateServer\Server.Listener.cs", "C#", 163, 0, 0, 0, 0, 7, 170
"e:\Projects\Development\Oxalate\OxalateServer\Server.cs", "C#", 106, 0, 0, 0, 10, 26, 142
"e:\Projects\Development\Oxalate\OxalateServer\Translation.cs", "C#", 48, 0, 0, 0, 14, 7, 69
"e:\Projects\Development\Oxalate\OxalateServer\User.cs", "C#", 109, 0, 0, 0, 12, 22, 143
"e:\Projects\Development\Oxalate\OxalateServer\UserManager.cs", "C#", 124, 0, 0, 0, 21, 18, 163
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 0, 50, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateServer\bin\Debug\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 0, 28, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 0, 50, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateServer\bin\Release\netcoreapp3.1\config.json", "JSON", 0, 0, 12, 0, 0, 0, 12
