"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\JsonSharp\Json.cs", "C#", 543, 0, 0, 0, 1, 1, 545
"e:\Projects\Development\Oxalate\JsonSharp\JsonSharp.csproj", "XML", 0, 0, 5, 0, 0, 3, 8
"e:\Projects\Development\Oxalate\JsonSharp\bin\Debug\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\bin\Release\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.dgspec.json", "JSON", 0, 62, 0, 0, 0, 0, 62
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\project.assets.json", "JSON", 0, 67, 0, 0, 0, 0, 67
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.Designer.cs", "C#", 103, 0, 0, 0, 32, 7, 142
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.cs", "C#", 111, 0, 0, 0, 0, 8, 119
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.Designer.cs", "C#", 94, 0, 0, 0, 35, 9, 138
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.ShowMessage.cs", "C#", 105, 0, 0, 0, 0, 9, 114
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.cs", "C#", 130, 0, 0, 0, 0, 19, 149
"e:\Projects\Development\Oxalate\OxalateClient-GUI\OxalateClientTCP-GUI.csproj", "XML", 0, 0, 24, 0, 0, 5, 29
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Preference.cs", "C#", 114, 0, 0, 0, 3, 8, 125
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Program.cs", "C#", 26, 0, 0, 0, 3, 2, 31
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Properties\Resources.Designer.cs", "C#", 32, 0, 0, 0, 23, 9, 64
"e:\Projects\Development\Oxalate\OxalateClient-GUI\TextBoxIO.cs", "C#", 71, 0, 0, 0, 0, 7, 78
"e:\Projects\Development\Oxalate\OxalateClient-GUI\UserProfileDialog.Designer.cs", "C#", 83, 0, 0, 0, 29, 7, 119
"e:\Projects\Development\Oxalate\OxalateClient-GUI\UserProfileDialog.cs", "C#", 36, 0, 0, 0, 0, 5, 41
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.deps.json", "JSON", 0, 63, 0, 0, 0, 0, 63
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClient-GUI.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.deps.json", "JSON", 0, 63, 0, 0, 0, 0, 63
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\OxalateClientTCP-GUI.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateClient-GUI\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 95, 0, 0, 0, 0, 95
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.deps.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClient-GUI.designer.runtimeconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 16
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.designer.deps.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\Debug\netcoreapp3.1\OxalateClientTCP-GUI.designer.runtimeconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 16
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.dgspec.json", "JSON", 0, 242, 0, 0, 0, 0, 242
"e:\Projects\Development\Oxalate\OxalateClient-GUI\obj\OxalateClient-GUI.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
