"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClient.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateClient\obj\Debug\netcoreapp3.1\OxalateClient.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.dgspec.json", "JSON", 0, 181, 0, 0, 0, 0, 181
"e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateClient\obj\OxalateClient.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\OxalateClient\obj\project.assets.json", "JSON", 0, 112, 0, 0, 0, 0, 112
"e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCore.cs", "C#", 36, 0, 0, 0, 0, 11, 47
"e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCorePlugin.csproj", "XML", 0, 0, 25, 0, 0, 8, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateCorePlugin.deps.json", "JSON", 0, 65, 0, 0, 0, 0, 65
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 28, 0, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateCorePlugin.deps.json", "JSON", 0, 64, 0, 0, 0, 0, 64
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\config.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 28, 0, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\OxalateCorePlugin.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\OxalateCorePlugin.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.dgspec.json", "JSON", 0, 245, 0, 0, 0, 0, 245
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\OxalateCorePlugin.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\OxalateCorePlugin.1.0.0.nuspec", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\OxalateCorePlugin.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Release\netcoreapp3.1\OxalateCorePlugin.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\project.assets.json", "JSON", 0, 135, 0, 0, 0, 0, 135
"e:\Projects\Development\Oxalate\OxalateServer\Command.cs", "C#", 28, 0, 0, 0, 6, 6, 40
"e:\Projects\Development\Oxalate\OxalateServer\IPlugin.cs", "C#", 17, 0, 0, 0, 9, 6, 32
"e:\Projects\Development\Oxalate\OxalateServer\OnlineUser.cs", "C#", 108, 0, 0, 0, 12, 11, 131
"e:\Projects\Development\Oxalate\OxalateServer\OxalateServer.csproj", "XML", 0, 0, 19, 0, 0, 5, 24
"e:\Projects\Development\Oxalate\OxalateServer\PluginAPI.cs", "C#", 67, 0, 0, 0, 24, 15, 106
"e:\Projects\Development\Oxalate\OxalateServer\PluginManager.cs", "C#", 126, 0, 0, 0, 23, 16, 165
"e:\Projects\Development\Oxalate\OxalateServer\Program.cs", "C#", 37, 0, 0, 0, 0, 10, 47
"e:\Projects\Development\Oxalate\OxalateServer\Server.Commands.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"e:\Projects\Development\Oxalate\OxalateServer\Server.Listener.cs", "C#", 185, 0, 0, 0, 0, 7, 192
"e:\Projects\Development\Oxalate\OxalateServer\Server.Message.cs", "C#", 19, 0, 0, 0, 6, 3, 28
"e:\Projects\Development\Oxalate\OxalateServer\Server.Users.cs", "C#", 124, 0, 0, 0, 21, 18, 163
"e:\Projects\Development\Oxalate\OxalateServer\Server.cs", "C#", 113, 0, 0, 0, 13, 28, 154
